title,category,rating,quote
勇敢的心 / Braveheart / 惊世未了缘(港)  /  梅尔吉勃逊之英雄本色(台),1995 / 美国 / 动作 传记 剧情 历史 战争,8.9,史诗大片的典范。
蝴蝶效应 / The Butterfly Effect / 蝴蝶效应,2004 / 美国 加拿大 / 剧情 悬疑 科幻 惊悚,8.8,人的命运被自己瞬间的抉择改变。
春光乍泄 / 春光乍洩 / 一起快乐  /  Happy Together,1997 / 香港 日本 韩国 / 剧情 爱情 同性,8.9,爱情纠缠，男女一致。
剪刀手爱德华 / Edward Scissorhands / 幻海奇缘(港)  /  剪刀手爱德华,1990 / 美国 / 剧情 奇幻 爱情,8.7,浪漫忧郁的成人童话。
心灵捕手 / Good Will Hunting / 骄阳似我(港)  /  心灵捕手,1997 / 美国 / 剧情,8.8,人生中应该拥有这样的一段豁然开朗。
禁闭岛 / Shutter Island / 不赦岛(港)  /  隔离岛(台),2010 / 美国 / 剧情 悬疑 惊悚,8.7,昔日翩翩少年，今日大腹便便。
穿条纹睡衣的男孩 / The Boy in the Striped Pajamas / 穿条纹衣服的男孩  /  穿条纹衣的男孩,2008 / 英国 美国 / 剧情 战争,9.0,尽管有些不切实际的幻想，这部电影依旧是一部感人肺腑的佳作。
布达佩斯大饭店 / The Grand Budapest Hotel / 布达佩斯大酒店(港)  /  欢迎来到布达佩斯大饭店(台),2014 / 美国 德国 英国 / 剧情 喜剧 冒险,8.8,小清新的故事里注入了大历史的情怀。
入殓师 / おくりびと / 礼仪师之奏鸣曲(港)  /  礼仪师(台),2008 / 日本 / 剧情,8.8,死可能是一道门，逝去并不是终结，而是超越，走向下一程。
阿凡达 / Avatar / 天神下凡(港)  /  化身,2009 / 美国 英国 / 动作 战争 科幻 冒险,8.7,绝对意义上的美轮美奂。
幽灵公主 / もののけ姫 / 魔法公主  /  幽灵少女,1997 / 日本 / 动画 奇幻 冒险,8.9,人与自然的战争史诗。
阳光灿烂的日子 / In the Heat of the Sun,1994 / 中国大陆 香港 / 剧情 爱情,8.8,一场华丽的意淫。
致命ID / Identity / 杀人游戏  /  致命身份,2003 / 美国 / 剧情 悬疑 惊悚,8.7,最不可能的那个人永远是最可能的。
加勒比海盗 / Pirates of the Caribbean: The Curse of the Black Pearl / 加勒比海盗1：黑珍珠号的诅咒  /  神鬼奇航：鬼盗船魔咒(台),2003 / 美国 / 动作 冒险 奇幻,8.7,约翰尼·德普的独角戏。
第六感 / The Sixth Sense / 灵异第六感  /  鬼眼,1999 / 美国 / 剧情 悬疑 惊悚,8.8,深入内心的恐怖，出人意料的结局。
断背山 / Brokeback Mountain / 断臂山  /  BBM,2005 / 美国 加拿大 / 剧情 爱情 同性 家庭,8.7,每个人心中都有一座断背山。
"摩登时代 / Modern Times / The Masses  /  Temps modernes, Les",1936 / 美国 / 剧情 喜剧 爱情,9.2,大时代中的人生，小人物的悲喜。
重庆森林 / 重慶森林 / Chungking Express,1994 / 香港 / 剧情 爱情,8.7,寂寞没有期限。
狩猎 / Jagten / 谎言的烙印(台)  /  诬网(港),2012 / 丹麦 瑞典 / 剧情,9.1,人言可畏。
玛丽和马克思 / Mary and Max / 巧克力情缘(台)  /  同是天涯寂寞客,2009 / 澳大利亚 / 剧情 喜剧 动画,8.9,你是我最好的朋友，你是我唯一的朋友 。
喜剧之王 / 喜劇之王 / King of Comedy,1999 / 香港 / 喜剧 剧情 爱情,8.7,我是一个演员。
告白 / 自白  /  母亲,2010 / 日本 / 剧情 惊悚,8.7,没有一人完全善，也没有一人完全恶。
消失的爱人 / Gone Girl / 失踪的女孩  /  失踪女孩,2014 / 美国 / 剧情 犯罪 悬疑 惊悚,8.7,年度最佳date movie。
大鱼 / Big Fish / 大鱼奇缘(港)  /  大智若鱼(台),2003 / 美国 / 剧情 家庭 奇幻 冒险,8.8,抱着梦想而活着的人是幸福的，怀抱梦想而死去的人是不朽的。
一一 / Yi yi  /  Yi yi: A One and a Two,2000 / 台湾 日本 / 剧情 爱情 家庭,9.0,我们都曾经是一一。
射雕英雄传之东成西就 / 射鵰英雄傳之東成西就 / 东成西就  /  大英雄 (日本),1993 / 香港 / 喜剧 奇幻 武侠 古装,8.7,百看不厌。
阳光姐妹淘 / 써니 / 阳光姊妹淘(港)  /  桑尼,2011 / 韩国 / 剧情 喜剧,8.8,再多各自牛逼的时光，也比不上一起傻逼的岁月。
爱在黎明破晓前 / Before Sunrise / 情留半天(港)  /  爱在黎明破晓时(台),1995 / 美国 奥地利 瑞士 / 剧情 爱情,8.8,缘分是个连绵词，最美不过一瞬。
小森林 夏秋篇 / リトル・フォレスト 夏・秋 / 小森食光 / 夏秋篇(台),2014 / 日本 / 剧情,9.0,那些静得只能听见呼吸的日子里，你明白孤独即生活。
甜蜜蜜 / Comrades: Almost a Love Story,1996 / 香港 / 剧情 爱情,8.8,相逢只要一瞬间，等待却像是一辈子。
请以你的名字呼唤我 / Call Me by Your Name / 以你的名字呼唤我(港 / 台),2017 / 意大利 法国 巴西 美国 荷兰 德国 / 剧情 爱情 同性,8.8,沉醉在电影的情感和视听氛围中无法自拔。
侧耳倾听 / 耳をすませば / 心之谷  /  梦幻街少女,1995 / 日本 / 剧情 爱情 动画,8.8,少女情怀总是诗。
驯龙高手 / How to Train Your Dragon / 驯龙记(港),2010 / 美国 / 动画 奇幻 冒险,8.7,和谐的生活离不开摸头与被摸头。
红辣椒 / パプリカ / 盗梦侦探  /  帕布莉卡,2006 / 日本 / 动画 悬疑 科幻 惊悚,8.9,梦的勾结。
倩女幽魂 / 倩女幽魂(87版)  /  倩女幽魂：妖魔道,1987 / 香港 / 爱情 奇幻 武侠 古装,8.7,两张绝世的脸。
恐怖直播 / 더 테러 라이브 / 死亡“动”新闻(港)  /  恐怖攻击直播(台),2013 / 韩国 / 剧情 犯罪 悬疑,8.7,恐怖分子的“秋菊打官司”。
风之谷 / 風の谷のナウシカ / 风谷少女  /  Kaze no tani no Naushika,1984 / 日本 / 动画 奇幻 冒险,8.8,动画片的圣经。
超脱 / Detachment / 人间师格(台),2011 / 美国 / 剧情,8.8,穷尽一生，我们要学会的，不过是彼此拥抱。
爱在日落黄昏时 / Before Sunset / 日落巴黎(港)  /  爱在日落巴黎时(台),2004 / 美国 / 剧情 爱情,8.8,九年后的重逢是世俗和责任的交叠，没了悸动和青涩，沧桑而温暖。
上帝之城 / Cidade de Deus / 无主之城 (港)  /  无法无天 (台),2002 / 巴西 法国 / 犯罪 剧情,8.9,被上帝抛弃了的上帝之城。
菊次郎的夏天 / 菊次郎の夏 / Kikujirô no natsu  /  菊次郎的夏天,1999 / 日本 / 剧情 喜剧,8.8,从没见过那么流氓的温柔，从没见过那么温柔的流氓。
小森林 冬春篇 / リトル・フォレスト 冬・春 / 小森食光 / 冬春篇(台),2015 / 日本 / 剧情,9.0,尊敬他人，尊敬你生活的这片土地，明白孤独是人生的常态。
哈利·波特与死亡圣器(下) / Harry Potter and the Deathly Hallows: Part 2 / 哈利波特7：死神的圣物2(港 / 台),2011 / 美国 英国 / 剧情 悬疑 奇幻 冒险,8.7,10年的完美句点。
幸福终点站 / The Terminal / 机场客运站(港)  /  航站情缘(台),2004 / 美国 / 喜剧 剧情 爱情,8.7,有时候幸福需要等一等。
杀人回忆 / 살인의 추억 / 谋杀回忆  /  杀手回忆录,2003 / 韩国 / 犯罪 剧情 悬疑 惊悚,8.7,关于连环杀人悬案的集体回忆。
7号房的礼物 / 7번방의 선물 / 戆爸的礼物(港)  /  7号囚房的礼物,2013 / 韩国 / 剧情 喜剧 家庭,8.8,《我是山姆》的《美丽人生》。
借东西的小人阿莉埃蒂 / 借りぐらしのアリエッティ / 借物少女艾莉缇(台)  /  借东西的小矮人亚莉亚蒂(港),2010 / 日本 / 动画 奇幻 冒险,8.7,曾经的那段美好会沉淀为一辈子的记忆。
神偷奶爸 / Despicable Me / 卑鄙的我  /  坏蛋奖门人(港),2010 / 美国 法国 / 喜剧 动画 冒险,8.5,Mr. I Don't Care其实也有Care的时候。
蝙蝠侠：黑暗骑士崛起 / The Dark Knight Rises / 蝙蝠侠前传3：黑暗骑士崛起  /  黑暗骑士：黎明升起(台),2012 / 美国 英国 / 剧情 动作 科幻 犯罪 惊悚,8.7,诺兰就是保证。
萤火之森 / 蛍火の杜へ / 萤火之社  /  Hotarubi no mori e,2011 / 日本 / 剧情 爱情 动画 奇幻,8.8,触不到的恋人。
唐伯虎点秋香 / 唐伯虎點秋香 / Flirting Scholar,1993 / 香港 / 喜剧 爱情 古装,8.5,华太师是黄霑，吴镇宇四大才子之一。
超能陆战队 / Big Hero 6 / 大英雄联盟(港)  /  大英雄天团(台),2014 / 美国 / 喜剧 动作 科幻 动画 冒险,8.6,Balalala~~~
"怪兽电力公司 / Monsters, Inc. / 怪兽公司(港)  /  怪物公司",2001 / 美国 / 儿童 喜剧 动画 奇幻 冒险,8.6,不要给它起名字，起了名字就有感情了。
岁月神偷 / 歲月神偷 / 1969太空漫游  /  Echoes Of The Rainbow,2010 / 香港 中国大陆 / 剧情 家庭,8.7,岁月流逝，来日可追。
无人知晓 / 誰も知らない / 谁知赤子心(港)  /  无人知晓的夏日清晨(台),2004 / 日本 / 剧情,9.1,我的平常生活就是他人的幸福。
电锯惊魂 / Saw / 夺魂锯(台)  /  恐惧斗室(港),2004 / 美国 / 悬疑 惊悚 恐怖,8.7,真相就在眼前。
何以为家 / كفرناحوم / 迦百农  /  星仔打官司(港),2018 / 黎巴嫩 法国 美国 / 剧情,9.0,凝视卑弱生命，用电影改变命运。
七武士 / 七人の侍 / 七侠四义(港)  /  The Seven Samurai,1954 / 日本 / 动作 冒险 剧情,9.2,时代悲歌。
谍影重重3 / The Bourne Ultimatum / 叛谍追击3：最后通牒(港)  /  神鬼认证：最后通牒 (台),2007 / 美国 德国 / 动作 悬疑 惊悚,8.8,像吃了苏打饼一样干脆的电影。
